[LOG] 2026/01/14 20:52:54 | error |               | main.main.func12 | 897     time_error
[LOG] 2026/01/14 20:53:02 | error |               | main.main.func12 | 897     time_error
[LOG] 2026/01/16 21:20:41 | error |               |  main.checkAuch | 170     auth_error: [<nil>]
[LOG] 2026/01/16 21:20:41 | error |               | main.main.func16 | 1025    auth_error
[LOG] 2026/01/16 21:20:44 | error |               | main.main.func11 | 847     auth_error: [record not found]
[LOG] 2026/01/16 21:21:28 | error |               | main.main.func11 | 847     auth_error: [record not found]
[LOG] 2026/01/17 09:52:08 | error |               | main.main.func16 | 1025    time_error
[LOG] 2026/01/17 10:34:27 | error |               | main.main.func15 | 991     time_error
[LOG] 2026/01/17 10:34:27 | error |               | main.main.func16 | 1025    time_error
[LOG] 2026/01/17 10:35:31 | error |               | main.main.func15 | 991     time_error
[LOG] 2026/01/17 10:35:32 | error |               | main.main.func16 | 1025    time_error
[LOG] 2026/01/17 10:36:47 | error |               | main.main.func15 | 991     time_error
[LOG] 2026/01/17 10:36:47 | error |               | main.main.func16 | 1025    time_error
[LOG] 2026/01/20 22:51:09 | error |               |  main.checkAuch | 170     auth_error: [<nil>]
[LOG] 2026/01/20 22:51:09 | error |               | main.main.func12 | 897     auth_error
[LOG] 2026/01/20 22:52:41 | error |               | main.main.func16 | 1025    time_error
[LOG] 2026/01/20 22:54:29 | error |               | main.main.func12 | 897     time_error
[LOG] 2026/01/20 22:54:33 | error |               | main.main.func12 | 897     time_error
[LOG] 2026/01/22 20:50:19 | error |               | main.main.func11 | 847     auth_error: [record not found]
[LOG] 2026/01/22 21:54:59 | error |               | main.main.func15 | 991     time_error
[LOG] 2026/01/22 21:54:59 | error |               | main.main.func16 | 1025    time_error
[LOG] 2026/01/25 13:35:50 | error |               | main.main.func15 | 991     time_error
[LOG] 2026/02/08 18:29:03 | error |               |  main.checkAuch | 170     auth_error: [<nil>]
[LOG] 2026/02/08 18:29:03 | error |               | main.main.func16 | 1025    auth_error
